TT	PID	AT	CT	IO_D	WT	RT	TRT
9	1	6	46	0	0	1	3
10	3	8	294	0	0	0	2
113	12	30	18	20	65	10	83
126	4	8	92	18	26	1	118
359	7	11	87	16	261	1	348
384	14	36	39	11	309	254	348
398	2	8	87	28	303	1	390
477	15	41	190	18	246	6	436
523	64	210	284	0	29	23	313
551	6	10	209	13	332	1	541
709	20	58	157	0	494	486	651
878	112	701	148	0	29	21	177
998	10	26	95	16	877	1	972
1093	108	249	267	0	577	211	844
1150	8	17	178	17	955	149	1133
1174	42	147	47	20	980	8	1027
1187	117	986	163	0	38	34	201
1204	5	9	189	16	1006	2	1195
1258	122	1191	49	0	18	18	67
1393	22	70	295	9	1028	20	1323
1432	18	50	52	31	1330	902	1382
1559	126	1332	201	0	26	18	227
1567	13	35	289	0	1243	18	1532
1694	131	1607	69	0	18	12	87
1712	49	165	38	9	1509	434	1547
1745	23	73	119	21	1553	264	1672
1800	30	96	144	7	1560	3	1704
1847	19	55	121	22	1671	264	1792
2009	24	79	77	9	1853	300	1930
2010	34	118	29	15	1863	51	1892
2020	36	121	76	9	1823	318	1899
2069	33	113	41	18	1915	220	1956
2084	139	1909	145	0	30	24	175
2117	37	128	87	23	1902	42	1989
2137	46	156	111	7	1870	16	1981
2190	47	159	228	0	1803	996	2031
2351	44	155	73	18	2123	46	2196
2386	58	189	14	18	2183	1	2197
2401	87	316	236	0	1849	574	2085
2510	149	2358	124	0	28	20	152
2610	28	89	111	33	2410	17	2521
2617	111	652	78	0	1887	275	1965
2757	55	179	52	33	2526	33	2578
2806	41	142	107	26	2557	4	2664
2827	11	27	227	40	2573	627	2800
2843	155	2662	171	0	10	4	181
2889	51	169	50	8	2670	649	2720
2894	115	883	220	0	1791	133	2011
2950	54	176	159	6	2615	217	2774
3024	160	3004	2	0	18	18	20
3087	128	1352	198	0	1537	377	1735
3103	16	47	268	12	2788	126	3056
3167	32	106	174	24	2887	74	3061
3201	35	118	64	17	3019	591	3083
3312	38	129	165	14	3018	427	3183
3333	116	891	240	0	2202	110	2442
3389	165	3185	168	0	36	36	204
3487	43	148	195	40	3144	14	3339
3505	56	180	63	9	3262	475	3325
3619	48	159	182	18	3278	774	3460
3627	169	3394	211	0	22	16	233
3671	25	81	159	30	3431	2	3590
3717	109	250	266	0	3201	203	3467
3753	21	63	280	10	3410	122	3690
3755	172	3628	113	0	14	8	127
3798	61	200	52	18	3546	493	3598
3801	57	182	150	0	3469	352	3619
3802	59	192	29	13	3581	2	3610
