TT	PID	AT	CT	IO_D	WT	RT	TRT
2967	749	2723	225	0	19	1	244
3019	766	2950	34	0	35	35	69
3081	21	61	176	10	2844	18	3020
3083	576	877	196	0	2010	185	2206
3126	42	138	36	14	2952	939	2988
3144	589	972	267	0	1905	566	2172
3192	786	3123	62	0	7	1	69
3202	38	115	289	11	2798	18	3087
3242	48	170	71	17	3001	489	3072
3257	796	3225	31	0	1	1	32
3285	798	3231	27	0	27	27	54
3314	777	3067	227	0	20	14	247
3349	804	3316	31	0	2	2	33
3401	27	89	102	7	3210	140	3312
3428	731	2488	275	0	665	149	940
3442	815	3408	33	0	1	1	34
3445	57	202	51	23	3192	521	3243
3469	100	342	109	7	3018	352	3127
3471	765	2939	258	0	274	98	532
3512	82	273	270	13	2969	88	3239
3513	811	3382	129	0	2	2	131
3525	35	106	122	16	3297	23	3419
3668	43	141	285	22	3242	22	3527
3691	139	486	54	7	3151	34	3205
3722	143	504	284	0	2934	48	3218
3746	112	394	198	0	3154	251	3352
3749	28	91	260	31	3398	10	3658
3775	795	3217	212	0	346	156	558
3871	838	3613	251	0	7	1	258
3896	33	101	110	0	3685	262	3795
3978	845	3784	174	0	20	20	194
3987	778	3071	201	0	715	384	916
3993	10	22	271	16	3700	1	3971
4006	30	96	195	11	3715	292	3910
4017	738	2564	289	0	1164	75	1453
4040	760	2889	238	0	913	80	1151
4153	15	42	94	28	4017	44	4111
4156	849	3872	256	0	28	10	284
4233	842	3624	240	0	369	364	609
4280	758	2838	259	0	1183	255	1442
4285	772	2996	221	0	1068	1045	1289
4292	866	4136	149	0	7	1	156
4315	53	193	199	13	3923	290	4122
4341	54	193	197	17	3951	310	4148
4401	883	4347	47	0	7	1	54
4446	70	236	271	14	3939	27	4210
4461	49	176	278	16	4007	30	4285
4482	834	3580	243	0	659	654	902
4484	95	326	55	0	4103	306	4158
4546	108	379	182	17	3985	913	4167
4550	72	243	27	16	4280	46	4307
4584	759	2886	276	0	1422	106	1698
4595	77	256	51	20	4288	4	4339
4664	76	249	12	11	4403	1694	4415
4679	250	850	78	11	3751	235	3829
4691	901	4448	230	0	13	1	243
4713	52	188	105	11	4420	87	4525
4731	66	225	67	28	4439	8	4506
4755	905	4464	272	0	19	7	291
4761	575	856	266	0	3639	54	3905
4788	79	267	236	30	4285	214	4521
4832	775	3040	256	0	1536	127	1792
4851	934	4766	84	0	1	1	85
4870	68	227	155	16	4488	364	4643
4873	925	4633	215	0	25	19	240
4943	688	2105	272	0	2566	71	2838
4968	11	22	216	40	4730	1	4946
5046	818	3447	274	0	1325	85	1599
5084	67	225	269	41	4590	15	4859
5115	69	234	105	8	4776	22	4881
5121	107	375	74	6	4672	96	4746
5192	535	423	223	0	4546	108	4769
5228	961	5070	158	0	0	0	158
5268	65	223	86	0	4959	3	5045
5319	86	288	146	22	4885	630	5031
5336	24	71	267	16	4998	212	5265
5385	830	3561	275	0	1549	450	1824
5397	976	5184	201	0	12	0	213
5397	87	290	246	11	4861	294	5107
5408	988	5333	69	0	6	0	75
5438	741	2588	260	0	2590	250	2850
5458	181	644	272	6	4542	41	4814
5536	920	4556	246	0	734	315	980
5548	1001	5489	53	0	6	0	59
5610	50	182	258	15	5170	657	5428
5614	113	395	271	12	4948	112	5219
5647	931	4749	160	0	738	727	898
5653	61	213	218	20	5222	45	5440
5696	1022	5612	77	0	7	1	84
5696	1021	5607	83	0	6	0	89
5706	62	218	130	19	5358	26	5488
5733	236	810	30	0	4893	1202	4923
5751	695	2195	251	0	3305	495	3556
5827	89	296	279	16	5252	144	5531
5854	85	286	87	13	5481	598	5568
5907	613	1286	262	0	4359	103	4621
5937	45	153	208	15	5576	218	5784
5979	960	5034	250	0	695	660	945
6065	63	221	173	0	5671	30	5844
6081	106	370	53	16	5658	737	5711
6096	1050	6020	39	0	37	37	76
6128	1038	5872	229	0	27	15	256
6137	103	358	45	27	5734	562	5779
6148	118	409	24	26	5715	672	5739
6167	762	2893	258	0	3016	80	3274
6170	117	404	270	14	5496	1	5766
6171	128	448	22	0	5701	301	5723
6171	91	306	42	19	5823	71	5865
6176	142	499	22	11	5655	1542	5677
6209	936	4778	233	0	1198	119	1431
6209	73	245	157	9	5807	51	5964
6226	109	379	45	12	5802	94	5847
6246	125	436	75	37	5735	824	5810
6249	137	479	96	19	5674	248	5770
6260	926	4645	224	0	1391	1392	1615
6278	119	413	39	12	5826	65	5865
6289	59	207	284	15	5798	162	6082
6355	135	476	57	11	5822	82	5879
6411	1076	6300	89	0	22	22	111
6421	97	334	266	20	5821	127	6087
6464	833	3579	262	0	2623	1341	2885
6465	937	4780	228	0	1457	186	1685
6505	1032	5786	233	0	486	475	719
6523	74	247	160	5	6116	1029	6276
6524	94	324	167	5	6033	16	6200
6531	1092	6435	95	0	1	1	96
6531	1088	6396	102	0	33	33	135
6596	124	431	111	17	6054	461	6165
6620	1095	6469	139	0	12	0	151
6625	132	458	109	11	6058	53	6167
6648	56	195	258	0	6195	36	6453
6653	1104	6580	51	0	22	22	73
6697	123	425	130	0	6142	1	6272
6724	258	873	263	22	5588	1	5851
6746	655	1570	247	0	4929	517	5176
6758	916	4531	270	0	1957	1407	2227
6819	84	279	125	0	6415	281	6540
6855	1126	6849	6	0	0	0	6
6888	1108	6612	253	0	23	11	276
6938	1019	5591	228	0	1119	363	1347
7012	101	348	167	16	6497	106	6664
7013	692	2123	248	0	4642	896	4890
7014	122	425	80	13	6509	714	6589
7104	115	399	189	0	6516	560	6705
7113	130	454	67	25	6592	565	6659
7152	160	574	46	0	6532	558	6578
7156	952	4966	201	0	1989	42	2190
7169	1138	6957	194	0	18	0	212
7179	1133	6928	238	0	13	1	251
7255	1160	7240	14	0	1	1	15
7261	628	1358	257	0	5646	133	5903
7303	145	505	201	0	6597	351	6798
7383	158	563	268	6	6552	469	6820
7391	1158	7219	142	0	30	0	172
7413	761	2891	270	0	4252	80	4522
7415	835	3581	252	0	3582	1193	3834
7440	1175	7408	32	0	0	0	32
7487	183	653	35	9	6799	357	6834
7489	99	340	14	14	7135	107	7149
7491	131	458	26	9	7007	24	7033
7517	1101	6533	242	0	742	158	984
7595	1195	7514	41	0	40	28	81
7601	1188	7476	109	0	16	10	125
7633	157	558	219	10	6856	8	7075
7644	322	1106	11	0	6527	1188	6538
7645	90	299	91	13	7255	80	7346
7646	331	1125	121	18	6400	18	6521
7653	1029	5724	234	0	1695	62	1929
7701	102	351	245	11	7105	587	7350
7709	121	419	32	29	7258	300	7290
7735	81	272	244	23	7219	54	7463
7770	105	370	194	16	7206	11	7400
7776	1210	7665	111	0	0	0	111
7781	152	536	274	10	6971	3	7245
7783	362	1236	227	0	6320	2119	6547
7828	850	3886	251	0	3691	1023	3942
7834	51	182	205	9	7447	33	7652
7870	951	4960	214	0	2696	551	2910
7983	92	312	102	35	7569	265	7671
8025	136	476	130	14	7419	94	7549
8027	1227	7847	174	0	6	0	180
8028	1220	7812	204	0	12	6	216
8031	161	574	92	16	7365	161	7457
8041	1143	7009	259	0	773	190	1032
8050	653	1565	258	0	6227	1153	6485
8055	166	593	300	19	7162	124	7462
8114	1064	6185	238	0	1691	1686	1929
8117	64	221	227	12	7669	496	7896
8130	155	551	137	19	7442	291	7579
8144	126	441	283	7	7420	55	7703
8155	229	782	21	10	7352	1319	7373
8164	182	648	143	10	7373	107	7516
8206	189	677	60	14	7469	1	7529
8241	1249	8187	36	0	18	18	54
8266	60	213	295	19	7758	60	8053
8318	184	660	130	0	7528	1548	7658
8328	129	454	59	19	7815	842	7874
8374	962	5073	256	0	3045	644	3301
8384	573	851	237	0	7296	477	7533
8385	98	339	277	25	7769	204	8046
8420	1254	8230	173	0	17	17	190
8437	1268	8399	30	0	8	2	38
8468	1109	6614	236	0	1618	667	1854
8488	1272	8430	30	0	28	28	58
8493	163	585	16	20	7892	436	7908
8526	116	404	214	19	7908	288	8122
8554	140	491	194	5	7869	1828	8063
8574	120	413	208	18	7953	74	8161
8577	1286	8549	27	0	1	1	28
8604	1290	8568	8	0	28	28	36
8623	1235	8044	222	0	357	56	579
8642	1246	8166	250	0	226	209	476
8684	96	333	156	11	8195	56	8351
8723	547	538	273	0	7912	150	8185
8751	93	317	217	9	8217	373	8434
8757	1305	8714	14	0	29	17	43
8814	154	545	92	14	8177	449	8269
8822	171	608	129	18	8085	672	8214
8823	186	666	24	9	8133	713	8157
8843	1018	5589	103	0	3151	167	3254
8857	1312	8755	99	0	3	3	102
8869	1320	8848	21	0	0	0	21
8875	919	4553	245	0	4077	328	4322
8885	111	388	252	15	8245	7	8497
8910	1323	8878	26	0	6	6	32
8918	192	680	113	16	8125	311	8238
8943	1082	6361	222	0	2360	1377	2582
8951	1316	8788	143	0	20	8	163
8962	195	687	235	17	8040	6	8275
9016	80	271	247	7	8498	660	8745
9018	1098	6494	220	0	2304	1071	2524
9028	290	988	176	0	7864	86	8040
9036	114	398	233	25	8405	3	8638
9058	146	510	125	6	8423	5	8548
9059	172	611	74	8	8374	7	8448
9113	1344	9061	30	0	22	22	52
9131	1349	9089	18	0	24	24	42
9139	464	1596	27	14	7516	882	7543
9151	208	733	133	19	8285	400	8418
9155	504	12	266	0	8877	91	9143
9169	309	1055	80	17	8034	1608	8114
9254	869	4142	233	0	4879	3869	5112
9283	133	463	269	12	8551	46	8820
9300	191	680	99	20	8521	317	8620
9301	231	786	20	11	8495	231	8515
9322	860	4017	225	0	5080	83	5305
9352	1351	9106	210	0	36	30	246
9369	889	4390	207	0	4772	2009	4979
9429	164	589	235	17	8605	220	8840
9445	1139	6957	196	0	2292	128	2488
9483	151	530	73	0	8880	322	8953
9493	173	617	96	18	8780	188	8876
9513	147	517	54	7	8942	47	8996
9547	1391	9443	76	0	28	28	104
9647	104	364	129	12	9154	3	9283
9659	825	3536	210	0	5913	1024	6123
9708	150	525	181	0	9002	747	9183
9710	1404	9656	46	0	8	2	54
9712	949	4937	233	0	4542	147	4775
9714	1215	7726	238	0	1750	1745	1988
9743	1398	9583	147	0	13	1	160
9790	168	600	175	21	9015	217	9190
9824	179	637	249	10	8938	98	9187
9846	197	698	220	0	8928	23	9148
9899	162	581	81	8	9237	412	9318
9904	239	822	50	15	9032	10	9082
9916	201	712	46	0	9158	297	9204
9944	592	1012	246	0	8686	1080	8932
10017	233	796	289	11	8932	1	9221
10018	276	943	22	19	9053	2040	9075
10042	1432	9907	129	0	6	0	135
10083	238	817	258	7	9008	14	9266
10106	670	1798	230	0	8078	645	8308
10107	138	486	277	11	9344	2400	9621
10114	167	595	33	13	9486	83	9519
10154	823	3519	210	0	6425	1016	6635
10157	1134	6933	233	0	2991	1099	3224
10210	1448	10147	63	0	0	0	63
10211	1446	10112	73	0	26	20	99
10324	209	739	51	39	9534	264	9585
10325	227	778	15	10	9532	287	9547
10327	1013	5556	229	0	4542	652	4771
10378	843	3641	232	0	6505	732	6737
10391	199	705	290	17	9396	198	9686
10394	308	1048	29	22	9317	857	9346
10395	176	634	177	18	9584	93	9761
10457	1466	10338	119	0	0	0	119
10461	1471	10399	62	0	0	0	62
10461	215	749	145	0	9567	145	9712
10468	1240	8092	202	0	2174	401	2376
10477	212	740	29	16	9708	14	9737
10546	178	637	133	7	9776	78	9909
10565	1482	10522	43	0	0	0	43
10590	1434	9913	122	0	555	549	677
10608	221	758	85	14	9765	333	9850
10610	851	3895	242	0	6473	124	6715
10629	1498	10627	2	0	0	0	2
10630	1496	10600	24	0	6	0	30
10663	1044	5902	195	0	4566	215	4761
10684	170	608	257	16	9819	282	10076
10701	144	505	277	36	9919	30	10196
10718	747	2666	259	0	7793	64	8052
10722	232	792	282	29	9648	593	9930
10754	1506	10697	56	0	1	1	57
10810	1510	10732	76	0	2	2	78
10827	895	4410	237	0	6180	143	6417
10844	156	554	59	8	10231	1171	10290
10886	986	5292	221	0	5373	106	5594
10915	180	643	196	19	10076	695	10272
10926	1515	10771	121	0	34	16	155
10931	1524	10827	91	0	13	1	104
10942	214	747	152	12	10043	157	10195
10974	1516	10783	183	0	8	2	191
11046	1319	8826	191	0	2029	953	2220
11061	220	755	60	14	10246	415	10306
11075	241	825	46	11	10204	158	10250
11078	265	904	185	0	9989	133	10174
11079	297	1009	38	9	10032	119	10070
11080	153	538	263	19	10279	748	10542
11104	1438	9938	214	0	952	186	1166
11196	1536	10968	215	0	13	1	228
11216	1537	10987	196	0	33	9	229
11224	1543	11064	154	0	6	6	160
11228	148	520	300	16	10408	389	10708
11271	190	680	225	9	10366	419	10591
11281	985	5290	239	0	5752	714	5991
11302	1410	9702	215	0	1385	48	1600
11305	1549	11230	68	0	7	1	75
11319	198	703	182	5	10434	185	10616
11378	224	767	267	25	10344	70	10611
11379	205	728	96	17	10555	11	10651
11379	454	1572	126	8	9681	1022	9807
11381	235	803	32	13	10546	173	10578
11400	1561	11325	75	0	0	0	75
11400	1557	11270	116	0	14	8	130
11421	957	5008	200	0	6213	335	6413
11438	204	722	296	18	10420	392	10716
11458	226	771	205	11	10482	1894	10687
11459	247	840	33	0	10586	253	10619
11470	255	869	41	0	10560	200	10601
11471	268	910	38	31	10523	1068	10561
11472	280	955	28	23	10489	1478	10517
11481	574	851	271	0	10359	66	10630
11497	1011	5552	188	0	5757	1016	5945
11571	273	924	89	37	10558	173	10647
11584	1358	9148	201	0	2235	1299	2436
11588	203	719	178	17	10691	131	10869
11604	257	869	105	7	10630	415	10735
11615	687	2105	229	0	9281	414	9510
11620	289	985	230	12	10405	444	10635
11640	1586	11614	25	0	1	1	26
11654	165	592	241	19	10821	830	11062
11689	657	1590	246	0	9853	829	10099
11730	757	2832	239	0	8659	57	8898
11742	174	624	95	11	11023	383	11118
11754	210	740	223	5	10791	1	11014
11770	149	524	156	11	11090	593	11246
11771	460	1589	32	0	10150	389	10182
11771	222	765	41	13	10965	1304	11006
11812	603	1111	229	0	10472	639	10701
11827	1598	11728	93	0	6	0	99
11850	141	495	193	11	11162	334	11355
11866	1177	7421	185	0	4260	236	4445
11928	634	1393	229	0	10306	112	10535
11961	193	680	299	7	10982	345	11281
11979	893	4404	199	0	7376	382	7575
12005	279	954	75	5	10976	549	11051
12007	1609	11910	97	0	0	0	97
12023	207	733	241	11	11049	127	11290
12111	1322	8872	177	0	3062	3057	3239
12131	228	782	73	23	11276	294	11349
12216	177	636	278	15	11302	1378	11580
12256	1626	12065	184	0	7	1	191
12264	217	751	122	0	11391	836	11513
12278	743	2636	263	0	9379	297	9642
12291	1369	9226	191	0	2874	490	3065
12293	248	844	53	18	11396	63	11449
12298	1283	8529	212	0	3557	1911	3769
12305	264	897	38	14	11370	1405	11408
12306	202	716	236	6	11354	146	11590
12325	1633	12118	185	0	22	4	207
12330	1640	12285	45	0	0	0	45
12405	249	849	137	0	11419	817	11556
12411	1641	12303	108	0	0	0	108
12439	278	950	156	7	11333	142	11489
12458	671	1816	213	0	10429	221	10642
12478	306	1043	214	20	11221	454	11435
12482	1542	11056	207	0	1219	110	1426
12487	1646	12357	127	0	3	3	130
12505	824	3529	244	0	8732	345	8976
12621	1604	11829	182	0	610	610	792
12624	321	1101	119	10	11404	2786	11523
12637	1533	10944	16	0	1677	1677	1693
12638	1531	10932	222	0	1484	30	1706
12660	1605	11833	37	0	790	377	827
12663	432	1498	276	18	10889	561	11165
12675	1603	11823	15	0	837	837	852
12703	750	2724	224	0	9755	2181	9979
12728	1528	10873	80	0	1775	1397	1855
12730	211	740	57	0	11933	7	11990
12781	1583	11592	100	0	1089	1083	1189
12822	188	675	155	31	11992	2	12147
12842	1691	12839	2	0	1	1	3
12848	196	693	262	9	11893	14	12155
12849	260	880	20	6	11949	255	11969
12863	216	751	82	27	12030	523	12112
12864	225	771	70	16	12023	620	12093
12870	702	2262	233	0	10375	1535	10608
12873	1271	8416	188	0	4269	219	4457
12890	1567	11438	157	0	1295	32	1452
12899	1682	12777	85	0	37	25	122
12955	1696	12924	31	0	0	0	31
12956	1695	12911	41	0	4	4	45
12959	185	665	175	5	12119	31	12294
12996	1684	12811	180	0	5	5	185
13016	844	3647	226	0	9143	1332	9369
13049	1659	12493	179	0	377	38	556
13060	169	601	183	13	12276	1015	12459
13068	263	896	18	18	12154	943	12172
13078	187	669	262	10	12147	231	12409
13099	977	5185	199	0	7715	392	7914
13109	1700	13009	92	0	8	8	100
13123	127	444	164	12	12515	369	12679
13131	206	728	161	17	12242	97	12403
13191	253	862	112	15	12217	462	12329
13198	240	823	140	6	12235	23	12375
13209	897	4416	192	0	8601	146	8793
13225	271	918	50	0	12257	356	12307
13250	714	2373	253	0	10624	504	10877
13260	1718	13159	100	0	1	1	101
13278	1724	13195	71	0	12	0	83
13283	275	936	273	8	12074	183	12347
13292	1674	12665	9	0	618	618	627
13321	1250	8204	195	0	4922	324	5117
13436	437	1520	220	6	11696	156	11916
13455	1733	13295	154	0	6	0	160
13503	1728	13237	170	0	96	85	266
13514	219	753	152	24	12609	661	12761
13515	1738	13335	162	0	18	12	180
13601	213	743	243	0	12615	357	12858
13602	292	992	14	0	12596	115	12610
13609	1736	13306	41	0	262	262	303
13644	1236	8050	210	0	5384	462	5594
13645	1727	13219	36	0	390	390	426
13659	262	892	235	7	12532	8	12767
13663	1717	13148	18	0	497	497	515
13665	1746	13375	149	0	141	136	290
13700	1079	6345	211	0	7144	52	7355
13740	277	949	90	13	12701	770	12791
13782	1709	13111	119	0	552	552	671
13837	1111	6646	172	0	7019	3135	7191
13842	1538	10989	194	0	2659	1415	2853
13846	1774	13707	112	0	27	15	139
13884	218	752	208	0	12924	1331	13132
13888	568	751	212	0	12925	945	13137
13902	1784	13870	32	0	0	0	32
13909	1782	13838	45	0	26	26	71
13914	267	910	185	35	12819	923	13004
13921	1661	12504	121	0	1296	1278	1417
14012	230	785	285	13	12942	125	13227
14025	291	992	45	16	12988	108	13033
14042	496	1706	206	0	12130	852	12336
14046	1417	9770	197	0	4079	189	4276
14071	242	828	292	7	12951	113	13243
14078	1371	9237	217	0	4624	579	4841
14134	1801	13973	155	0	6	0	161
14156	237	813	196	16	13147	1209	13343
14221	299	1016	152	27	13053	133	13205
14223	1352	9122	146	0	4955	538	5101
14229	1167	7311	194	0	6724	199	6918
14232	1753	13546	184	0	502	497	686
14255	1814	14076	161	0	18	12	179
14256	266	909	50	18	13297	1101	13347
14305	298	1014	190	5	13101	110	13291
14307	194	685	213	51	13409	1091	13622
14309	1754	13558	5	0	746	419	751
14358	1836	14303	45	0	10	10	55
14360	303	1034	106	11	13220	829	13326
14375	1830	14252	109	0	14	14	123
14390	1752	13506	83	0	801	443	884
14398	1826	14191	168	0	39	34	207
14416	365	1249	273	17	12894	856	13167
14423	1476	10470	194	0	3759	1390	3953
14425	1689	12833	183	0	1409	250	1592
14446	1842	14328	117	0	1	1	118
14583	1815	14079	179	0	325	320	504
14597	1850	14411	150	0	36	36	186
14605	908	4474	201	0	9930	1284	10131
14610	1248	8185	181	0	6244	96	6425
14626	324	1113	10	39	13503	201	13513
14693	372	1268	207	16	13218	489	13425
14719	1870	14632	52	0	35	35	87
14724	1820	14135	136	0	453	85	589
14728	243	831	282	31	13615	10	13897
14749	1865	14573	175	0	1	1	176
14764	315	1077	266	11	13421	215	13687
14790	1418	9772	193	0	4825	191	5018
14795	471	1619	204	0	12972	472	13176
14796	1767	13684	33	0	1079	52	1112
14804	1893	14785	18	0	1	1	19
14809	1890	14771	10	0	28	28	38
14825	1763	13661	29	0	1135	1135	1164
14920	1897	14817	91	0	12	12	103
14924	1137	6957	209	0	7758	366	7967
14929	618	1300	38	0	13591	1297	13629
14931	1490	10561	2	0	4368	1730	4370
14934	1750	13490	103	0	1341	1335	1444
14939	259	873	85	11	13981	222	14066
14952	1027	5632	201	0	9119	1852	9320
14968	1907	14896	72	0	0	0	72
14979	1221	7818	203	0	6958	668	7161
15013	323	1107	82	11	13824	233	13906
15032	234	799	250	18	13983	319	14233
15034	274	930	134	13	13970	338	14104
15043	333	1137	264	20	13642	244	13906
15057	340	1165	58	13	13834	232	13892
15076	288	979	112	7	13985	1998	14097
15096	317	1079	39	23	13978	1115	14017
15109	1217	7769	180	0	7160	972	7340
15114	341	1166	53	17	13895	209	13948
15153	1036	5843	199	0	9111	838	9310
15164	1151	7119	200	0	7845	1034	8045
15166	256	869	229	20	14068	7	14297
15207	272	923	232	14	14052	1154	14284
15231	244	831	246	20	14154	455	14400
15254	1939	15236	2	0	16	16	18
15260	334	1144	81	19	14035	380	14116
15276	311	1063	178	11	14035	1033	14213
15287	1218	7787	192	0	7308	1301	7500
15307	246	837	257	18	14213	43	14470
15335	1475	10458	184	0	4693	325	4877
15352	319	1092	253	34	14007	170	14260
15354	345	1180	59	7	14115	657	14174
15358	1047	5988	201	0	9169	310	9370
15368	301	1022	212	28	14134	27	14346
15406	325	1113	49	20	14244	211	14293
15426	305	1037	179	22	14210	467	14389
15454	1662	12511	166	0	2777	53	2943
15476	368	1257	64	9	14155	233	14219
15477	336	1147	155	0	14175	384	14330
15486	320	1098	235	19	14153	233	14388
15517	1445	10067	206	0	5244	225	5450
15539	1380	9338	192	0	6009	578	6201
15554	1963	15441	109	0	4	4	113
15571	378	1295	91	35	14185	78	14276
15573	1971	15487	74	0	12	0	86
15585	223	766	285	18	14534	233	14819
15615	383	1312	52	20	14251	94	14303
15640	1807	14001	180	0	1459	78	1639
15706	989	5336	214	0	10156	2786	10370
15716	1623	12034	164	0	3518	325	3682
15717	1992	15621	84	0	12	0	96
15733	402	1387	41	7	14305	864	14346
15739	284	968	121	37	14650	560	14771
15787	175	628	208	28	14951	54	15159
15788	344	1178	74	0	14536	1020	14610
15825	1984	15574	179	0	72	67	251
15851	286	971	191	17	14689	144	14880
15858	2004	15738	95	0	25	1	120
15870	386	1331	53	19	14486	2185	14539
15879	913	4488	199	0	11192	161	11391
15900	1770	13689	179	0	2032	1116	2211
15997	1920	15040	166	0	791	786	957
15999	349	1195	129	14	14675	1663	14804
16034	252	860	83	15	15091	157	15174
16058	1534	10946	208	0	4904	470	5112
16068	2037	16043	14	0	11	11	25
16075	346	1184	48	0	14843	1553	14891
16084	1932	15153	173	0	758	532	931
16150	2040	16067	54	0	29	29	83
16156	254	869	204	39	15083	1	15287
16175	1124	6827	208	0	9140	58	9348
16233	1547	11194	187	0	4852	560	5039
16260	2022	15938	160	0	162	144	322
16277	1952	15331	178	0	768	225	946
16308	2047	16210	85	0	13	1	98
16353	793	3203	206	0	12944	350	13150
16355	285	968	199	13	15188	105	15387
16357	294	1002	172	7	15183	83	15355
16359	350	1201	43	11	15115	314	15158
16375	366	1252	54	15	15069	282	15123
16390	2058	16328	44	0	18	12	62
16401	261	886	208	13	15307	3	15515
16402	302	1028	32	29	15342	2367	15374
16415	1585	11606	185	0	4624	1080	4809
16455	296	1008	204	14	15243	113	15447
16481	245	833	101	7	15547	238	15648
16500	310	1062	283	17	15155	326	15438
16503	353	1209	59	22	15235	1117	15294
16521	1493	10570	182	0	5769	145	5951
16545	356	1220	143	15	15182	7	15325
16575	1868	14622	162	0	1791	187	1953
16578	1131	6911	196	0	9471	831	9667
16593	328	1120	258	11	15215	144	15473
16664	1556	11260	169	0	5235	232	5404
16691	318	1086	61	18	15544	15	15605
16693	251	857	225	19	15611	2034	15836
16696	1635	12122	184	0	4390	296	4574
16731	1675	12688	164	0	3879	957	4043
16733	430	1486	63	18	15184	184	15247
16752	1771	13695	168	0	2889	1278	3057
16792	283	962	116	22	15714	310	15830
16858	281	960	230	15	15668	405	15898
16891	329	1120	142	0	15629	315	15771
16916	1233	7959	176	0	8781	753	8957
16974	1518	10793	174	0	6007	639	6181
16997	429	1482	235	9	15280	605	15515
17058	1252	8226	182	0	8650	516	8832
17074	304	1034	191	5	15849	1887	16040
17112	1187	7464	189	0	9459	642	9648
17142	358	1221	106	7	15815	20	15921
17146	363	1240	51	5	15855	1177	15906
17151	451	1562	48	9	15541	1350	15589
17158	2087	16842	162	0	154	143	316
17160	444	1543	121	0	15496	2654	15617
17171	361	1231	241	17	15699	1195	15940
17207	706	2282	243	0	14682	66	14925
17212	2107	17157	22	0	33	27	55
17270	1066	6211	198	0	10861	97	11059
17288	428	1478	42	15	15768	1303	15810
17334	468	1615	243	9	15476	247	15719
17337	488	1679	221	0	15437	785	15658
17361	2113	17215	138	0	8	8	146
17372	1568	11440	170	0	5762	1074	5932
17372	447	1552	239	0	15581	170	15820
17403	1427	9849	163	0	7391	268	7554
17414	2122	17290	90	0	34	34	124
17416	2084	16769	45	0	602	150	647
17447	2130	17370	77	0	0	0	77
17499	2136	17424	72	0	3	3	75
17500	1935	15181	152	0	2167	970	2319
17528	2143	17489	39	0	0	0	39
17534	2097	17021	157	0	356	339	513
17540	1073	6282	157	0	11101	607	11258
17549	270	914	141	18	16494	177	16635
17550	667	1706	227	0	15617	397	15844
17558	2020	15926	143	0	1489	460	1632
17650	837	3608	139	0	13903	1543	14042
