TT	PID	AT	CT	IO_D	WT	RT	TRT
134	508	33	92	0	9	3	101
138	506	19	104	0	15	3	119
163	2	2	136	11	25	1	161
282	505	17	261	0	4	5	265
291	501	3	267	0	21	9	288
360	514	173	184	0	3	3	187
360	78	262	261	0	0	15	98
390	83	278	76	0	36	30	112
397	507	22	248	0	127	110	375
397	1	2	268	20	127	1	395
444	3	6	117	13	321	1	438
457	6	13	32	18	412	1	444
464	532	412	27	0	25	25	52
476	7	14	227	20	235	63	462
482	22	66	40	6	376	246	416
528	23	69	56	0	403	53	459
530	529	343	163	0	24	24	187
538	513	149	272	0	117	88	389
579	36	108	133	20	338	9	471
640	134	470	151	0	19	19	170
674	32	100	103	9	471	455	574
677	549	561	84	0	32	32	116
706	159	570	115	0	21	22	136
777	4	12	186	12	579	206	765
820	554	593	203	0	24	18	227
854	40	129	34	5	691	388	725
910	17	48	66	15	796	437	862
917	88	293	279	0	345	61	624
997	578	884	86	0	27	27	113
1028	13	32	79	17	917	1	996
1059	590	980	57	0	22	22	79
1130	548	541	270	0	319	308	589
1169	550	566	218	0	385	165	603
1192	37	115	214	0	863	19	1077
1259	600	1091	140	0	28	28	168
1279	596	1051	209	0	19	1	228
1354	616	1296	58	0	0	0	58
1372	387	1333	138	0	0	2	39
1377	614	1287	59	0	31	25	90
1386	5	12	258	29	1116	1	1374
1392	75	247	17	0	1128	56	1145
1433	18	51	259	20	1123	254	1382
1466	20	60	118	18	1288	1	1406
1480	632	1391	69	0	20	20	89
1480	629	1367	79	0	34	28	113
1667	645	1454	174	0	39	27	213
1769	34	101	234	6	1434	38	1668
1801	643	1443	259	0	99	70	358
1836	443	1537	286	0	13	1	299
1842	654	1568	250	0	24	0	274
1888	39	122	75	13	1691	251	1766
1895	58	202	247	16	1446	138	1693
1897	664	1676	219	0	2	2	221
1929	14	35	138	14	1756	3	1894
1941	25	76	126	0	1739	222	1865
1944	326	1114	286	0	544	247	830
29350	500	1726	210	25	27414	32	27624
2000	47	163	192	13	1645	3	1837
2013	598	1056	204	0	753	748	957
2086	31	96	175	8	1815	758	1990
2178	29	91	130	31	1957	736	2087
2200	71	242	68	44	1890	41	1958
2232	644	1451	250	0	531	526	781
2303	44	146	164	25	1993	27	2157
2304	652	1556	267	0	481	458	748
2320	699	2251	63	0	6	6	69
2366	708	2328	37	0	1	1	38
2406	718	2397	8	0	1	1	9
2406	715	2377	28	0	1	1	29
2467	12	26	255	41	2186	4	2441
2476	55	194	126	18	2156	24	2282
2549	19	57	88	10	2404	74	2492
2624	41	136	272	10	2216	377	2488
2643	110	383	41	6	2219	16	2260
2688	720	2415	259	0	14	8	273
2729	46	158	203	13	2368	64	2571
2796	752	2749	46	0	1	1	47
2796	16	48	173	7	2575	1018	2748
2852	26	82	142	13	2628	216	2770
2862	8	21	267	8	2574	9	2841
2884	511	145	227	0	2512	220	2739
2915	9	22	224	19	2669	11	2893
2942	384	1319	293	0	1330	54	1623
