TT	PID	AT	CT	IO_D	WT	RT	TRT
190	3	12	174	0	4	1	178
196	4	17	163	5	16	1	179
236	5	22	138	12	76	37	214
241	40	119	15	0	107	0	122
280	255	23	243	0	14	8	257
283	10	33	34	12	216	1	250
339	1	2	264	22	73	1	337
385	272	357	18	0	10	10	28
398	18	54	19	13	325	232	344
399	15	52	64	16	283	203	347
420	265	307	98	0	15	12	113
439	20	55	15	16	369	228	384
459	43	135	10	24	314	28	324
592	275	437	152	0	3	3	155
615	16	53	243	5	319	143	562
631	279	459	157	0	15	12	172
638	31	88	35	33	515	229	550
689	290	645	29	0	15	15	44
703	9	32	193	10	478	1	671
813	8	26	154	7	633	3	787
813	36	107	211	16	495	1	706
817	66	213	14	16	590	102	604
820	24	71	276	0	473	306	749
831	57	187	107	15	537	132	644
865	27	73	100	18	692	208	792
936	247	831	104	0	1	1	105
960	224	765	43	0	152	0	195
972	214	730	235	0	7	1	242
973	19	55	257	8	661	1	918
1056	12	39	162	6	855	1	1017
1063	29	80	186	12	797	56	983
1087	37	107	215	22	765	1	980
1090	52	164	36	0	890	72	926
1184	316	1015	159	0	10	4	169
1196	32	91	224	11	881	73	1105
1200	30	87	149	16	964	254	1113
1210	104	338	286	0	586	572	872
1245	61	192	20	5	1033	74	1053
1246	13	45	185	7	1016	338	1201
1265	330	1187	61	0	17	17	78
1283	51	161	73	11	1049	645	1122
1308	93	303	15	0	990	809	1005
1340	21	59	182	29	1099	232	1281
1341	59	192	123	19	1026	1	1149
1348	28	77	246	8	1025	25	1271
1366	335	1216	150	0	0	0	150
1403	56	182	51	5	1170	141	1221
1436	340	1278	148	0	10	1	158
1481	353	1463	18	0	0	0	18
1496	83	273	73	0	1150	410	1223
1521	86	281	50	7	1190	145	1240
1567	25	71	164	6	1332	81	1496
1662	338	1237	267	0	158	153	425
1670	38	111	221	11	1338	184	1559
1695	14	46	254	5	1395	195	1649
1703	364	1610	90	0	3	0	93
1762	33	96	277	19	1389	193	1666
1772	26	72	152	36	1548	196	1700
1816	67	218	143	14	1455	497	1598
1871	34	100	256	8	1515	581	1771
1917	6	24	166	6	1727	1	1893
1937	45	148	48	19	1741	159	1789
1938	63	198	36	18	1704	513	1740
1947	375	1692	239	0	16	1	255
2037	388	1853	181	0	3	0	184
2085	70	224	82	26	1779	60	1861
2179	410	2059	114	0	6	6	120
2192	11	37	221	9	1934	274	2155
2221	7	25	218	6	1978	1	2196
2228	39	113	220	5	1895	315	2115
2292	428	2235	57	0	0	0	57
2349	46	148	91	0	2110	170	2201
2363	2	8	245	11	2110	1	2355
2487	54	169	212	7	2106	442	2318
2488	267	317	241	0	1930	94	2171
2489	17	54	269	14	2166	52	2435
2511	92	300	21	18	2190	9	2211
2579	447	2519	56	0	4	1	60
2584	138	436	74	7	2074	4	2148
2675	64	201	50	29	2424	63	2474
2681	466	2648	31	0	2	2	33
2684	42	130	228	0	2326	18	2554
2725	161	525	43	0	2157	122	2200
2796	50	159	124	20	2513	629	2637
2802	23	69	288	0	2445	71	2733
2813	110	348	18	0	2447	307	2465
2822	460	2595	221	0	6	0	227
2832	94	309	31	0	2492	600	2523
2834	433	2249	257	0	328	68	585
2855	108	346	12	8	2497	483	2509
2868	477	2758	103	0	7	1	110
2888	48	154	162	13	2572	131	2734
2922	68	223	135	10	2564	29	2699
3004	80	261	132	13	2611	24	2743
3024	482	2830	182	0	12	0	194
3055	58	187	254	19	2614	55	2868
3076	494	2968	90	0	18	18	108
3076	475	2734	230	0	112	101	342
3078	503	3051	23	0	4	4	27
3121	22	62	179	10	2880	643	3059
3144	35	107	300	10	2737	804	3037
3155	44	141	207	0	2807	158	3014
3162	62	193	125	41	2844	426	2969
3206	74	240	97	5	2869	1	2966
3208	77	249	80	28	2879	172	2959
3223	79	254	126	8	2843	948	2969
3239	509	3101	130	0	8	5	138
3298	103	338	121	11	2839	635	2960
3380	75	240	155	20	2985	256	3140
3397	73	239	224	13	2934	1	3158
3402	78	252	95	9	3055	184	3150
3480	49	158	205	9	3117	191	3322
3489	47	152	130	17	3207	149	3337
3524	89	287	67	33	3170	1	3237
3597	85	279	250	37	3068	1	3318
3623	53	166	166	18	3291	427	3457
3646	373	1680	280	0	1686	22	1966
3648	97	320	101	19	3227	109	3328
3677	543	3459	212	0	6	0	218
3694	55	176	254	11	3264	129	3518
3698	81	266	189	18	3243	43	3432
3792	102	335	99	21	3358	319	3457
3793	558	3588	196	0	9	3	205
3827	98	327	39	8	3461	779	3500
3829	95	315	65	14	3449	50	3514
3844	107	342	133	17	3369	136	3502
3874	84	273	127	12	3474	711	3601
3943	424	2219	240	0	1484	709	1724
4005	117	364	28	11	3613	455	3641
4012	88	287	98	17	3627	102	3725
4045	113	350	96	0	3599	357	3695
4089	71	226	159	11	3704	62	3863
4114	577	3889	215	0	10	1	225
4144	91	295	151	6	3698	1	3849
4172	116	362	62	18	3748	393	3810
4195	114	351	31	18	3813	50	3844
4225	41	126	256	17	3843	2	4099
4229	598	4138	85	0	6	0	91
4258	112	350	91	9	3817	47	3908
4283	60	192	196	8	3895	290	4091
4353	76	243	153	15	3957	194	4110
4364	556	3560	216	0	588	85	804
4365	127	390	77	9	3898	267	3975
4366	135	428	24	14	3914	70	3938
4366	87	287	145	11	3934	4	4079
4404	122	377	191	15	3836	115	4027
4407	133	414	46	8	3947	238	3993
4441	129	397	99	0	3945	243	4044
4461	613	4263	188	0	10	1	198
4509	96	319	128	0	4062	50	4190
4576	622	4375	192	0	9	6	201
4628	131	405	195	20	4028	232	4223
4678	124	379	149	20	4150	53	4299
4694	101	335	150	8	4209	262	4359
4716	153	505	32	14	4179	147	4211
4771	624	4383	254	0	134	129	388
4778	139	441	39	25	4298	316	4337
4814	143	462	42	14	4310	305	4352
4856	99	334	230	6	4292	152	4522
4967	100	335	100	6	4532	155	4632
5016	125	385	141	18	4490	95	4631
5026	72	233	235	23	4558	56	4793
5048	141	451	253	12	4344	300	4597
5050	663	4883	163	0	4	1	167
5074	121	376	92	7	4606	19	4698
5095	662	4873	182	0	40	34	222
5098	574	3868	276	0	954	59	1230
5102	69	223	205	30	4674	540	4879
5138	119	364	168	13	4606	401	4774
5236	137	432	219	10	4585	10	4804
5267	687	5118	143	0	6	0	149
5274	683	5095	161	0	18	6	179
5279	82	271	264	7	4744	175	5008
5360	387	1837	263	0	3260	353	3523
5370	105	340	138	19	4892	162	5030
5473	111	348	272	25	4853	288	5125
5602	109	348	55	0	5199	321	5254
5611	123	377	229	13	5005	329	5234
5635	150	498	262	11	4875	488	5137
5642	126	386	241	0	5015	39	5256
5742	118	364	80	15	5298	130	5378
5771	190	630	89	12	5052	45	5141
5792	140	444	236	0	5112	248	5348
5829	163	533	268	0	5028	704	5296
5896	65	206	281	18	5409	196	5690
5916	106	340	270	24	5306	65	5576
5928	134	421	76	26	5431	65	5507
5930	130	401	201	9	5328	264	5529
5946	753	5754	183	0	9	0	192
5947	149	497	299	10	5151	137	5450
6080	667	4901	246	0	933	78	1179
6097	169	551	41	19	5505	107	5546
6142	158	520	63	9	5559	632	5622
6158	164	539	87	6	5532	704	5619
6174	732	5519	197	0	458	321	655
6176	192	637	30	18	5509	134	5539
6188	772	6011	170	0	7	1	177
6270	155	507	165	23	5598	189	5763
6296	144	468	109	26	5719	734	5828
6305	691	5141	218	0	946	187	1164
6355	90	294	257	27	5804	65	6061
6400	789	6166	223	0	11	8	234
6485	162	532	194	9	5759	662	5953
6493	146	480	224	24	5789	183	6013
6558	181	601	262	5	5695	166	5957
6566	142	457	178	0	5931	1311	6109
6596	166	546	123	15	5927	1008	6050
6604	132	410	127	20	6067	80	6194
6610	115	356	281	16	5973	630	6254
6614	182	601	88	19	5925	154	6013
6623	754	5767	213	0	643	425	856
6630	136	430	255	5	5945	21	6200
6652	168	547	114	13	5991	1027	6105
6670	171	556	67	13	6047	760	6114
6728	128	394	209	0	6125	283	6334
6757	152	500	182	24	6075	132	6257
6767	147	487	103	11	6177	155	6280
6768	159	521	128	20	6119	1	6247
6801	816	6630	166	0	5	2	171
6816	179	595	172	0	6049	488	6221
6833	160	523	295	20	6015	118	6310
6859	673	4973	45	0	1841	1290	1886
6875	432	2248	258	0	4369	50	4627
6934	834	6779	154	0	1	1	155
6985	175	573	126	11	6286	313	6412
7005	177	583	54	6	6368	180	6422
7006	188	622	13	42	6371	937	6384
7013	847	6980	31	0	2	2	33
7075	787	6140	213	0	722	95	935
7095	170	551	238	12	6306	1552	6544
7119	727	5498	241	0	1380	124	1621
7206	183	604	75	10	6527	301	6602
7212	120	370	291	18	6551	812	6842
7218	853	7010	192	0	16	1	208
7227	875	7225	2	0	0	0	2
7280	157	514	221	19	6545	136	6766
7320	528	3319	230	0	3771	162	4001
7384	151	500	244	14	6640	953	6884
7497	885	7378	113	0	6	0	119
7511	208	696	18	13	6797	499	6815
7512	167	547	240	0	6725	643	6965
7543	519	3241	239	0	4063	22	4302
7561	193	639	145	14	6777	715	6922
7592	176	580	182	0	6830	114	7012
7606	195	647	151	15	6808	254	6959
7618	187	617	283	15	6718	826	7001
7621	199	664	82	14	6875	523	6957
7630	145	474	211	0	6945	737	7156
7642	154	507	250	14	6885	1618	7135
7680	172	562	132	10	6986	99	7118
7732	173	568	168	8	6996	66	7164
7758	897	7551	194	0	13	4	207
7782	640	4645	251	0	2886	65	3137
7810	204	687	33	42	7090	296	7123
7944	174	570	189	17	7185	664	7374
7995	918	7813	179	0	3	0	182
7999	156	509	228	20	7262	1456	7490
8007	886	7385	211	0	411	380	622
8056	926	7875	179	0	2	2	181
8098	148	491	203	20	7404	574	7607
8127	893	7510	165	0	452	44	617
8159	194	645	168	9	7346	483	7514
8168	843	6956	122	0	1090	1090	1212
8190	205	688	66	19	7436	317	7502
8242	877	7270	234	0	738	56	972
8254	196	648	187	6	7419	42	7606
8267	837	6797	172	0	1298	142	1470
8274	165	543	267	11	7464	966	7731
8292	939	8086	199	0	7	1	206
8295	216	742	225	0	7328	52	7553
8304	189	627	209	10	7468	715	7677
8374	227	769	64	18	7541	270	7605
8477	762	5911	180	0	2386	219	2566
8493	251	3	263	0	8227	141	8490
8523	965	8393	127	0	3	0	130
8527	960	8337	177	0	13	1	190
8528	949	8197	157	0	174	174	331
8688	178	588	217	7	7883	113	8100
8700	684	5101	209	0	3390	178	3599
8719	203	683	210	6	7826	10	8036
8737	180	601	278	16	7858	486	8136
8742	983	8686	52	0	4	1	56
8794	185	610	230	10	7954	534	8184
8819	226	768	130	5	7921	223	8051
8840	201	673	277	17	7890	4	8167
8841	212	719	49	9	8073	91	8122
8850	229	775	71	10	8004	3	8075
8881	209	703	217	18	7961	304	8178
8882	219	742	43	31	8097	203	8140
8921	778	6079	223	0	2619	1092	2842
8940	213	723	104	0	8113	776	8217
8962	202	676	183	0	8103	5	8286
8965	200	667	83	8	8215	770	8298
8979	198	659	77	23	8243	485	8320
9011	206	693	142	0	8176	19	8318
9037	1023	8995	41	0	1	1	42
9137	246	831	42	6	8264	384	8306
9150	566	3798	246	0	5106	253	5352
9158	221	746	251	0	8161	64	8412
9168	1018	8955	198	0	15	0	213
9184	215	735	266	12	8183	322	8449
9229	184	604	200	35	8425	463	8625
9267	1028	9088	176	0	3	0	179
9325	1026	9052	97	0	176	176	273
9335	1038	9228	105	0	2	2	107
9361	913	7785	217	0	1359	96	1576
9368	250	844	192	16	8332	227	8524
9376	1051	9356	20	0	0	0	20
9455	1057	9400	51	0	4	1	55
9460	225	766	83	26	8611	243	8694
9463	237	813	264	8	8386	76	8650
9535	210	706	178	30	8651	794	8829
9541	207	693	110	0	8738	746	8848
9553	634	4603	194	0	4756	197	4950
9578	1042	9252	209	0	117	28	326
9583	1061	9441	127	0	15	15	142
9594	238	813	82	16	8699	187	8781
9693	211	713	246	33	8734	752	8980
9701	235	800	257	18	8644	685	8901
9705	1068	9507	181	0	17	2	198
9709	239	816	165	8	8728	271	8893
9745	191	637	199	9	8909	61	9108
9810	855	7018	221	0	2571	103	2792
9824	779	6084	83	0	3657	203	3740
9829	1076	9612	116	0	101	96	217
9830	248	833	31	0	8966	390	8997
9849	992	8768	162	0	919	50	1081
9933	639	4632	101	0	5200	110	5301
9936	223	759	161	14	9016	254	9177
9985	245	831	121	8	9033	123	9154
10004	1094	9834	165	0	5	2	170
10030	632	4584	223	0	5223	873	5446
10043	1098	9868	36	0	139	136	175
10065	1084	9740	193	0	132	42	325
10098	243	827	138	27	9133	161	9271
10108	1106	10007	62	0	39	36	101
10121	236	807	61	0	9253	304	9314
10132	234	794	97	5	9241	301	9338
10136	231	781	192	8	9163	466	9355
