TT	PID	AT	CT	IO_D	WT	RT	TRT
6539	572	3389	226	0	2924	386	3150
6541	130	427	291	5	5823	1244	6114
6559	163	550	26	30	5983	691	6009
6586	738	6356	208	0	22	2	230
6622	77	273	229	34	6120	5	6349
6623	134	448	265	9	5910	414	6175
6649	165	553	88	11	6008	1606	6096
6662	119	396	168	22	6098	1131	6266
6749	135	451	270	0	6028	494	6298
6769	132	436	251	11	6082	30	6333
6782	217	718	15	9	6049	1404	6064
6819	171	577	70	8	6172	1	6242
6821	156	522	189	20	6110	279	6299
6834	197	662	23	0	6149	1639	6172
6904	89	311	275	20	6318	1889	6593
6936	753	6673	251	0	12	4	263
6967	158	529	96	8	6342	371	6438
6994	150	506	107	14	6381	342	6488
7007	282	912	19	17	6076	16	6095
7027	166	560	89	0	6378	1323	6467
7043	147	496	96	24	6451	1355	6547
7149	145	489	138	11	6522	1440	6660
7162	142	474	285	8	6403	136	6688
7165	773	6971	181	0	13	1	194
7192	160	534	177	7	6481	845	6658
7361	99	345	261	29	6755	95	7016
7385	744	6526	262	0	597	590	859
7445	752	6666	241	0	538	522	779
7449	220	722	45	16	6682	230	6727
7460	181	603	95	11	6762	215	6857
7543	626	4237	187	0	3119	1411	3306
7605	712	5757	218	0	1630	169	1848
7666	152	510	167	16	6989	1027	7156
7668	125	408	213	16	7047	1255	7260
7728	176	588	57	6	7083	372	7140
7734	815	7584	115	0	35	23	150
7740	318	1043	10	20	6687	2	6697
7782	149	499	232	11	7051	1364	7283
7797	814	7566	193	0	38	26	231
7823	161	540	73	7	7210	359	7283
7828	169	566	121	17	7141	2866	7262
7849	131	432	178	18	7239	1	7417
7908	168	566	82	5	7260	963	7342
7912	124	407	250	9	7255	451	7505
7939	179	602	38	18	7299	2008	7337
7965	172	584	203	11	7178	6	7381
8017	640	4417	280	0	3320	247	3600
8032	155	519	218	19	7295	1400	7513
8042	823	7802	205	0	35	31	240
8054	207	696	20	40	7338	2	7358
8094	226	732	26	8	7336	98	7362
8220	139	468	254	13	7498	396	7752
8283	146	490	207	25	7586	318	7793
8291	496	2128	276	0	5887	344	6163
8320	840	8193	123	0	4	0	127
8334	185	616	188	10	7530	567	7718
8337	143	481	244	31	7612	169	7856
8428	844	8299	99	0	30	22	129
8468	191	640	79	6	7749	1251	7828
8516	186	621	191	13	7704	280	7895
8590	182	605	138	8	7847	54	7985
8598	339	1117	25	5	7456	1377	7481
8607	151	510	187	0	7910	300	8097
8675	856	8546	120	0	9	1	129
8689	189	633	99	18	7957	2492	8056
8691	167	560	220	17	7911	968	8131
8762	866	8676	62	0	24	16	86
8764	153	516	242	13	8006	182	8248
8831	173	586	88	13	8157	12	8245
8840	183	610	214	16	8016	2598	8230
8877	192	643	68	17	8166	1708	8234
8926	222	726	37	6	8163	759	8200
8941	832	8071	104	0	766	376	870
8954	201	672	279	13	8003	233	8282
8994	862	8612	253	0	129	106	382
9054	180	603	292	8	8159	55	8451
9070	178	596	228	9	8246	100	8474
9071	219	722	86	20	8263	240	8349
9082	196	655	31	16	8396	1184	8427
9146	887	8950	180	0	16	4	196
9154	127	411	261	26	8482	737	8743
9216	177	590	169	17	8457	312	8626
9230	141	471	218	6	8541	33	8759
9242	193	649	270	17	8323	99	8593
9258	216	717	14	20	8527	1507	8541
9262	780	7171	243	0	1848	105	2091
9338	237	773	32	18	8533	1	8565
9375	190	633	149	8	8593	824	8742
9410	224	730	29	15	8651	1314	8680
9419	198	663	223	0	8533	37	8756
9462	905	9209	248	0	5	1	253
9467	154	516	255	14	8696	86	8951
9515	910	9467	48	0	0	0	48
9532	721	5984	256	0	3292	3281	3548
9535	347	1151	19	0	8365	654	8384
9559	208	697	135	0	8727	4	8862
9667	215	715	122	15	8830	835	8952
9680	202	679	257	18	8744	804	9001
9713	187	626	180	6	8907	218	9087
9757	218	720	199	18	8838	1806	9037
9796	204	685	107	5	9004	218	9111
9808	184	614	296	30	8898	571	9194
9826	200	671	156	29	8999	2	9155
9826	157	529	203	8	9094	231	9297
9858	924	9620	210	0	28	20	238
9919	280	906	34	34	8979	668	9013
9939	170	572	260	9	9107	332	9367
9978	455	1211	260	0	8507	1264	8767
10005	228	736	148	10	9121	4	9269
10052	210	699	130	18	9223	14	9353
10053	907	9225	231	0	597	407	828
10065	205	689	163	14	9213	253	9376
10070	244	791	33	0	9246	173	9279
10071	229	743	89	10	9239	14	9328
10121	199	668	165	6	9288	723	9453
10222	912	9477	102	0	643	81	745
10260	174	587	273	15	9400	944	9673
10270	693	5298	208	0	4764	1348	4972
10273	648	4516	245	0	5512	379	5757
10323	233	760	233	17	9330	1118	9563
10362	785	7268	106	0	2988	2333	3094
10371	236	766	83	0	9522	142	9605
10459	211	699	227	0	9533	18	9760
10476	259	840	21	18	9615	609	9636
10492	958	10310	153	0	29	21	182
10526	175	588	258	14	9680	336	9938
10538	269	873	91	20	9574	1416	9665
10566	221	724	297	15	9545	1328	9842
10603	956	10285	220	0	98	86	318
10671	238	775	153	17	9743	2	9896
