TT	PID	AT	CT	IO_D	WT	RT	TRT
2427	30	119	206	6	2102	300	2308
2451	67	254	212	31	1985	254	2197
2465	36	144	290	18	2031	291	2321
2467	349	2356	103	0	8	6	111
2469	40	155	18	35	2296	196	2314
2471	327	2172	96	0	203	204	299
2475	353	2392	77	0	6	6	83
2483	207	1146	146	0	1191	67	1337
2507	97	355	281	12	1871	15	2152
2531	158	679	102	0	1750	293	1852
2548	366	2496	52	0	0	0	52
2551	362	2473	72	0	6	4	78
2554	172	809	90	0	1655	98	1745
2556	330	2187	66	0	303	21	369
2559	64	251	167	18	2141	273	2308
2563	365	2490	63	0	10	8	73
2563	83	293	215	24	2055	332	2270
2565	279	1771	118	0	676	37	794
2590	91	324	178	7	2088	1	2266
2594	12	49	249	13	2296	2	2545
2627	374	2568	57	0	2	2	59
2640	376	2581	59	0	0	0	59
2642	373	2553	78	0	11	11	89
2645	313	2034	87	0	524	43	611
2650	46	179	188	18	2283	63	2471
2655	309	2005	107	0	543	109	650
2662	77	281	143	12	2238	423	2381
2673	384	2645	28	0	0	0	28
2674	383	2632	30	0	12	12	42
2674	388	2659	13	0	2	0	15
2675	73	271	298	19	2106	23	2404
2687	389	2660	12	0	15	15	27
2695	59	223	109	5	2363	198	2472
2710	199	1099	166	0	1445	21	1611
2716	394	2687	29	0	0	0	29
2716	399	2700	16	0	0	0	16
2717	396	2692	25	0	0	0	25
2718	391	2667	44	0	7	7	51
2725	135	367	109	0	2249	424	2358
2735	263	1636	81	0	1018	259	1099
2736	57	218	33	11	2485	45	2518
2737	62	240	37	0	2460	346	2497
2738	331	2190	63	0	485	67	548
2740	78	281	202	11	2257	74	2459
2742	333	2198	53	0	491	59	544
2756	155	664	76	0	2016	407	2092
2766	409	2754	10	0	2	2	12
2767	405	2734	31	0	2	0	33
2768	401	2723	39	0	6	4	45
2771	76	281	152	21	2338	383	2490
2790	364	2489	52	0	249	69	301
2793	84	296	148	35	2349	284	2497
2795	332	2197	54	0	544	52	598
2796	1	4	125	6	2667	1	2792
2797	74	273	54	19	2470	370	2524
2798	369	2517	87	0	194	68	281
2798	69	261	282	0	2255	16	2537
2800	310	2009	45	0	746	130	791
2806	415	2792	14	0	0	0	14
2807	413	2777	30	0	0	0	30
2808	411	2765	39	0	4	4	43
2810	184	975	52	0	1783	81	1835
2810	407	2752	12	0	46	46	58
2811	162	745	56	0	2010	42	2066
2812	143	491	6	0	2315	82	2321
2814	403	2731	81	0	2	0	83
2820	237	1425	10	0	1385	438	1395
2826	132	339	47	0	2440	39	2487
2831	238	1443	88	0	1300	76	1388
2840	80	286	157	9	2397	275	2554
2841	269	1676	51	0	1114	225	1165
2842	219	1269	38	0	1535	79	1573
2843	206	1142	39	0	1662	127	1701
2844	166	764	91	0	1989	61	2080
2845	416	2801	38	0	6	6	44
2857	402	2727	26	0	104	105	130
2860	53	194	195	26	2471	136	2666
2860	102	11	117	0	2732	628	2849
2867	103	16	113	0	2738	223	2851
2868	408	2754	11	0	103	104	114
2875	359	2428	48	0	399	131	447
2880	426	2854	26	0	0	0	26
2881	420	2819	61	0	1	1	62
2882	419	2818	62	0	2	2	64
2883	418	2817	64	0	2	0	66
2889	27	101	103	18	2685	342	2788
2910	104	21	107	0	2782	89	2889
2911	429	2898	12	0	1	1	13
2911	428	2871	27	0	13	13	40
2934	356	2414	168	0	352	56	520
2934	100	368	243	12	2323	185	2566
2940	434	2933	7	0	0	0	7
2941	432	2912	28	0	1	1	29
2957	435	2954	2	0	1	1	3
2971	96	348	248	6	2375	89	2623
2974	436	2964	9	0	1	1	10
2975	16	69	195	5	2711	3	2906
2992	56	214	125	11	2653	43	2778
2993	47	179	77	12	2737	17	2814
2995	79	282	274	17	2439	21	2713
2997	112	65	41	0	2891	1051	2932
3001	370	2520	35	0	446	36	481
3003	171	795	32	0	2176	116	2208
3005	94	337	75	9	2593	33	2668
3005	60	228	124	17	2653	2	2777
3015	157	677	104	0	2234	276	2338
3029	336	2279	82	0	668	34	750
3033	395	2691	86	0	256	36	342
3034	37	150	234	13	2650	121	2884
3044	292	1903	119	0	1022	86	1141
3063	113	116	123	0	2824	513	2947
3066	304	1936	31	0	1099	361	1130
3068	381	2590	50	0	428	52	478
3069	442	3025	44	0	0	0	44
3069	329	2182	46	0	841	465	887
3069	334	2261	88	0	720	125	808
3070	440	3018	52	0	0	0	52
3071	438	3012	57	0	2	2	59
3071	358	2425	51	0	595	53	646
3071	235	1405	98	0	1568	84	1666
3076	192	1028	20	0	2028	160	2048
3078	306	1983	70	0	1025	664	1095
3086	450	3080	5	0	1	1	6
3086	449	3051	16	0	19	19	35
3089	441	3022	61	0	6	4	67
3090	118	132	121	0	2837	39	2958
3098	217	1231	125	0	1742	280	1867
3103	6	25	218	31	2860	1	3078
3104	25	96	171	7	2837	48	3008
3105	32	125	149	19	2831	15	2980
3109	18	76	150	11	2883	415	3033
3117	246	1472	37	0	1608	778	1645
3118	354	2393	76	0	649	91	725
3128	82	291	217	8	2620	21	2837
3130	48	182	64	8	2884	50	2948
3130	93	332	49	8	2749	6	2798
3131	85	298	108	0	2725	328	2833
3132	90	320	279	9	2533	516	2812
3133	293	1910	22	0	1201	85	1223
3134	191	1024	4	0	2106	160	2110
3135	190	1022	6	0	2107	160	2113
3139	371	2529	84	0	526	31	610
3140	89	318	282	26	2540	257	2822
3145	126	261	17	0	2867	100	2884
3169	453	3164	5	0	0	0	5
3170	451	3142	27	0	1	1	28
3176	245	1468	41	0	1667	441	1708
3178	352	2377	73	0	728	96	801
3181	213	1215	178	0	1788	139	1966
3185	152	643	98	0	2444	53	2542
3187	110	36	111	0	3040	299	3151
3190	455	3186	3	0	1	1	4
3191	218	1238	37	0	1916	813	1953
3191	106	23	125	0	3043	87	3168
3195	65	251	147	29	2797	269	2944
3199	178	867	30	0	2302	44	2332
3203	448	3047	20	0	136	28	156
3219	61	233	148	0	2838	682	2986
3221	168	781	46	0	2394	42	2440
3225	81	286	99	10	2840	281	2939
3225	290	1875	31	0	1319	32	1350
3231	70	262	217	20	2752	161	2969
3267	43	167	287	10	2813	412	3100
3272	23	89	91	33	3092	45	3183
109	111	46	58	0	5	0	63
150	108	33	114	0	3	75	117
321	119	135	181	0	5	0	186
321	117	128	186	0	7	110	193
326	121	142	183	0	1	0	184
326	120	140	185	0	1	144	186
426	125	160	259	0	7	99	266
426	124	153	266	0	7	0	273
572	131	320	241	0	11	0	252
572	130	301	260	0	11	152	271
624	136	379	242	0	3	64	245
624	134	355	264	0	5	70	269
653	142	470	180	0	3	161	183
653	141	461	189	0	3	0	192
701	146	535	161	0	5	125	166
701	145	527	169	0	5	127	174
711	107	28	86	0	597	359	683
743	154	655	85	0	3	0	88
823	167	765	57	0	1	0	58
823	165	760	62	0	1	6	63
898	179	876	21	0	1	0	22
898	174	833	62	0	3	0	65
904	161	743	156	0	5	33	161
904	160	742	157	0	5	91	162
988	180	890	97	0	1	0	98
988	177	865	120	0	3	46	123
1027	185	991	35	0	1	10	36
1027	183	973	53	0	1	1	54
1110	197	1091	18	0	1	0	19
1111	196	1088	22	0	1	0	23
1179	189	1015	163	0	1	0	164
1179	188	1012	166	0	1	0	167
1211	208	1153	57	0	1	0	58
1211	204	1138	72	0	1	0	73
1212	203	1127	82	0	3	0	85
1268	198	1095	170	0	3	35	173
1348	211	1205	140	0	3	12	143
1348	210	1202	143	0	3	10	146
1398	229	1366	31	0	1	0	32
1398	228	1365	32	0	1	0	33
1398	223	1311	86	0	1	0	87
1398	222	1310	87	0	1	0	88
1484	232	1387	96	0	1	0	97
1484	231	1385	98	0	1	12	99
1488	234	1400	87	0	1	0	88
1488	233	1394	93	0	1	0	94
1510	244	1457	52	0	1	1	53
1510	243	1455	54	0	1	0	55
1528	241	1449	76	0	3	76	79
1528	240	1448	77	0	3	73	80
1535	215	1226	81	0	228	131	309
1617	255	1557	59	0	1	0	60
1617	254	1555	61	0	1	0	62
1634	256	1559	74	0	1	0	75
1634	253	1552	79	0	3	0	82
1637	258	1564	72	0	1	0	73
1637	257	1561	75	0	1	0	76
1667	261	1579	87	0	1	0	88
1667	260	1575	91	0	1	0	92
1711	224	1352	15	0	344	0	359
1718	266	1662	55	0	1	11	56
1718	265	1648	69	0	1	0	70
1727	271	1677	49	0	1	0	50
1727	270	1676	50	0	1	0	51
1799	282	1784	14	0	1	0	15
1799	281	1773	25	0	1	0	26
1858	274	1706	151	0	1	0	152
1858	273	1699	158	0	1	0	159
1885	288	1841	43	0	1	0	44
1885	286	1833	51	0	1	0	52
1891	277	1761	129	0	1	0	130
1891	276	1751	139	0	1	0	140
1901	289	1862	38	0	1	7	39
1901	287	1836	64	0	1	31	65
1977	300	1920	56	0	1	0	57
1977	298	1916	60	0	1	0	61
1978	299	1918	59	0	1	0	60
2050	301	1926	123	0	1	0	124
2050	296	1916	133	0	1	64	134
2097	303	1931	165	0	1	122	166
2097	302	1928	168	0	1	0	169
2109	311	2013	95	0	1	14	96
2109	307	1992	116	0	1	5	117
2144	316	2083	60	0	1	35	61
2144	315	2079	64	0	1	43	65
2171	325	2163	7	0	1	0	8
2246	328	2179	66	0	1	5	67
2246	326	2171	74	0	1	9	75
2246	322	2145	100	0	1	1	101
2246	318	2123	122	0	1	0	123
2312	338	2284	27	0	1	0	28
2355	344	2326	28	0	1	0	29
2359	348	2349	9	0	1	0	10
2359	346	2337	21	0	1	0	22
2397	347	2342	54	0	1	0	55
2397	342	2319	75	0	3	39	78
2397	343	2320	74	0	3	52	77
2411	319	2132	140	0	139	117	279
2467	351	2370	94	0	3	6	97
2467	350	2364	100	0	3	48	103
2475	357	2419	55	0	1	3	56
2475	355	2402	72	0	1	0	73
2507	169	786	156	0	1565	176	1721
2548	372	2542	5	0	1	0	6
2551	363	2482	66	0	3	6	69
2563	368	2513	47	0	3	39	50
2563	367	2501	59	0	3	58	62
2565	285	1808	117	0	640	96	757
2627	382	2596	30	0	1	0	31
2627	378	2584	42	0	1	0	43
2640	380	2588	51	0	1	0	52
2640	377	2582	57	0	1	0	58
2642	379	2588	53	0	1	0	54
2642	375	2569	72	0	1	0	73
2673	386	2655	17	0	1	1	18
2673	385	2648	24	0	1	0	25
2674	387	2658	15	0	1	6	16
2674	392	2668	3	0	3	0	6
2674	390	2666	5	0	3	0	8
2716	400	2704	11	0	1	0	12
2716	397	2696	19	0	1	0	20
2717	398	2698	18	0	1	0	19
2718	393	2681	36	0	1	0	37
2756	267	1662	70	0	1024	110	1094
2766	410	2759	6	0	1	0	7
2771	361	2445	92	0	234	64	326
2793	278	1764	129	0	900	203	1029
2806	417	2803	2	0	1	0	3
2807	414	2778	28	0	1	0	29
2808	412	2775	32	0	1	0	33
2814	406	2735	76	0	3	0	79
2814	404	2733	78	0	3	58	81
2841	360	2437	39	0	365	45	404
2845	424	2832	12	0	1	0	13
2845	421	2819	25	0	1	0	26
2880	427	2865	14	0	1	0	15
2881	425	2835	45	0	1	0	46
2882	423	2832	49	0	1	0	50
2882	422	2828	53	0	1	0	54
2889	139	453	101	0	2335	62	2436
2910	116	126	104	0	2680	223	2784
2911	430	2899	11	0	1	0	12
2911	431	2903	7	0	1	0	8
2941	433	2914	26	0	1	0	27
2974	437	2966	7	0	1	0	8
2975	242	1452	44	0	1479	75	1523
3069	444	3028	40	0	1	0	41
3069	443	3026	42	0	1	0	43
3070	445	3031	38	0	1	38	39
3071	439	3014	56	0	1	0	57
3089	447	3045	43	0	1	18	44
3089	446	3044	44	0	1	0	45
3169	454	3165	3	0	1	0	4
3170	452	3155	14	0	1	0	15
3187	163	748	107	0	2332	83	2439


Processes: 455
Avg WT = 682,	Avg RT = 85,	Avg TRT = 782
% Of Process Completed Before Deadline = 0
Migration %: 470	RTF = 4,	MaxW = 95
Work Steal %: 62
Forked Process: 78%
Killed Process: 34%


Processors:13 [5 FCFS, 4 SJF, 2 RR, 2 EDF ]
Processors Load 
P1 = 5.99334 %, P2 = 4.34983 %, P3 = 5.67559 %, P4 = 5.40606 %, P5 = 5.29649 %, P6 = 6.70334 %, P7 = 6.49735 %, P8 = 6.51269 %, P9 = 6.37682 %, P10 = 5.15405 %, P11 = 5.12556 %, P12 = 6.36148 %, P13 = 6.23877 %, 


Processors Utiliz 
P1 = 84 %, P2 = 61 %, P3 = 80 %, P4 = 76 %, P5 = 74 %, P6 = 94 %, P7 = 91 %, P8 = 91 %, P9 = 89 %, P10 = 72 %, P11 = 72 %, P12 = 89 %, P13 = 88 %, 
Avg utilization = 81.6154 %
