TT	PID	AT	CT	IO_D	WT	RT	TRT
109	3	11	93	0	5	1	98
133	101	11	118	0	4	0	122
134	7	25	109	0	0	1	109
143	109	35	79	0	29	30	108
150	105	22	126	0	2	0	128
287	11	45	240	0	2	1	242
321	114	117	198	0	6	0	204
326	115	125	190	0	11	11	201
333	8	27	97	34	209	10	306
379	28	108	22	14	249	89	271
426	123	145	269	0	12	6	281
529	19	76	276	17	177	119	453
536	50	185	171	0	180	180	351
572	128	282	276	0	14	4	290
622	29	113	202	8	307	1	509
624	133	345	269	0	10	6	279
653	138	437	202	0	14	12	216
701	144	522	171	0	8	4	179
705	5	22	40	0	643	86	683
711	2	8	92	8	611	15	703
714	17	73	121	20	520	14	641
743	153	651	90	0	2	0	92
744	151	635	101	0	8	6	109
761	14	59	113	16	589	1	702
784	156	669	113	0	2	0	115
807	122	144	270	0	393	201	663
807	34	137	277	18	393	1	670
822	127	268	211	0	343	342	554
823	164	753	64	0	6	6	70
883	31	121	253	6	509	161	762
898	176	856	39	0	3	3	42
898	173	827	69	0	2	0	71
904	159	710	186	0	8	2	194
923	92	330	16	8	577	8	593
988	175	853	125	0	10	6	135
1011	38	151	227	15	633	67	860
1027	182	971	56	0	0	0	56
1028	181	944	84	0	0	0	84
1055	149	591	191	0	273	274	464
1100	140	461	33	0	606	606	639
1110	195	1083	27	0	0	0	27
1111	193	1079	30	0	2	2	32
1128	86	301	297	15	530	243	827
1179	187	997	176	0	6	4	182
1188	42	163	232	30	793	427	1025
1211	201	1120	89	0	2	2	91
1212	200	1118	92	0	2	0	94
1216	129	285	273	0	658	423	931
1268	194	1080	185	0	3	1	188
1292	147	563	192	0	537	28	729
1297	170	793	185	0	319	120	504
1348	209	1200	145	0	3	1	148
1398	227	1362	36	0	0	0	36
1398	221	1300	95	0	3	1	98
1401	150	604	96	0	701	700	797
1409	87	308	277	11	824	118	1101
1442	51	188	257	7	997	146	1254
1448	41	157	36	25	1255	15	1291
1458	33	132	52	14	1274	78	1326
1484	225	1354	113	0	17	17	130
1488	230	1378	104	0	6	4	110
1510	239	1444	63	0	3	3	66
1528	236	1421	103	0	4	2	107
1531	58	218	107	10	1206	57	1313
1535	21	82	152	0	1301	6	1453
1580	226	1354	177	0	49	48	226
1602	15	64	277	7	1261	1	1538
1603	63	244	19	14	1340	354	1359
1617	252	1549	62	0	6	6	68
1634	248	1538	93	0	3	1	96
1634	247	1525	95	0	14	12	109
1637	251	1545	76	0	16	16	92
1637	54	201	205	7	1231	400	1436
1667	259	1571	94	0	2	2	96
1699	10	40	180	12	1479	1	1659
1711	45	175	39	6	1497	157	1536
1718	264	1646	71	0	1	1	72
1720	262	1624	90	0	6	4	96
1721	4	17	131	13	1573	1	1704
1727	268	1674	53	0	0	0	53
1795	52	189	128	8	1478	135	1606
1799	280	1771	26	0	2	2	28
1816	99	364	159	0	1293	539	1452
1858	272	1684	162	0	12	12	174
1872	20	78	279	15	1515	5	1794
1876	205	1140	179	0	557	75	736
1885	283	1797	82	0	6	6	88
1888	216	1229	127	0	532	182	659
1891	275	1748	142	0	1	1	143
1894	9	34	192	8	1668	101	1860
1901	284	1800	91	0	10	10	101
1956	39	151	91	14	1714	15	1805
1964	71	266	183	15	1515	357	1698
1977	295	1915	62	0	0	0	62
1978	291	1899	68	0	11	11	79
1984	202	1124	210	0	650	227	860
1987	26	98	222	14	1667	78	1889
1998	75	277	208	18	1513	636	1721
2001	88	311	77	18	1613	789	1690
2005	220	1275	138	0	592	95	730
2031	66	254	264	14	1513	138	1777
2050	294	1913	135	0	2	2	137
2064	95	342	219	20	1503	40	1722
2097	297	1916	174	0	7	7	181
2109	305	1978	130	0	1	1	131
2110	212	1215	139	0	756	60	895
2118	98	357	286	18	1475	72	1761
2138	55	207	147	27	1784	39	1931
2144	314	2069	73	0	2	2	75
2149	250	1541	151	0	457	188	608
2157	320	2135	20	0	2	2	22
2171	321	2145	13	0	13	13	26
2193	49	183	108	20	1902	21	2010
2210	249	1539	92	0	579	198	671
2214	44	170	74	5	1970	55	2044
2237	72	267	277	14	1693	55	1970
2240	214	1224	132	0	884	53	1016
2240	68	259	215	12	1766	6	1981
2246	324	2154	91	0	1	1	92
2246	317	2122	124	0	0	0	124
2260	186	992	104	0	1164	42	1268
2283	22	84	180	6	2019	28	2199
2298	312	2032	89	0	177	117	266
2311	337	2283	28	0	0	0	28
2312	335	2271	40	0	1	1	41
2350	308	2001	111	0	238	236	349
2355	340	2313	38	0	4	4	42
2359	345	2327	32	0	0	0	32
2365	24	94	129	7	2142	1022	2271
2375	137	419	205	0	1751	46	1956
2377	13	52	124	0	2201	1061	2325
2390	148	581	163	0	1646	75	1809
2397	341	2316	78	0	3	1	81
2397	339	2311	84	0	2	0	86
2411	35	142	212	17	2057	524	2269
2422	323	2147	98	0	177	100	275
