TT	PID	AT	CT	IO_D	WT	RT	TRT
51	2	4	15	5	32	1	47
87	13	36	16	15	35	1	51
179	36	131	21	0	27	27	48
229	202	24	177	0	28	24	205
256	20	61	138	11	57	33	195
312	1	3	296	0	13	1	309
319	3	10	65	14	244	176	309
396	205	207	185	0	4	4	189
416	209	331	75	0	10	6	85
420	21	63	14	18	343	324	357
446	10	31	82	0	333	3	415
472	8	24	59	13	389	1	448
529	17	50	255	20	224	140	479
565	12	32	101	8	432	1	533
585	19	58	221	7	306	29	527
647	5	15	124	19	508	39	632
650	213	443	191	0	16	4	207
683	4	12	189	14	482	1	671
744	24	76	155	16	513	51	668
751	100	353	295	0	103	3	398
784	157	544	231	0	9	1	240
795	38	143	17	12	635	2	652
806	14	39	192	18	575	1	767
819	33	120	25	15	674	35	699
856	29	100	110	18	646	15	756
941	31	112	218	0	611	7	829
999	32	117	194	0	688	17	882
1013	236	983	29	0	1	1	30
1027	45	175	25	0	827	7	852
1031	15	42	235	10	754	37	989
1091	64	232	62	0	797	103	859
1136	7	18	284	16	834	1	1118
1191	18	51	98	15	1042	143	1140
1268	23	72	241	7	955	10	1196
1278	241	1051	216	0	11	11	227
1340	9	29	111	25	1200	29	1311
1358	27	96	262	6	1000	126	1262
1391	59	213	13	7	1165	216	1178
1416	53	196	100	0	1120	21	1220
1417	71	250	80	0	1087	1	1167
1534	49	181	76	19	1277	150	1353
1552	254	1357	187	0	8	0	195
1637	16	48	231	23	1358	12	1589
1660	35	125	237	16	1298	552	1535
1661	42	157	153	17	1351	370	1504
1701	258	1581	104	0	16	12	120
1729	267	1702	13	0	14	14	27
1774	272	1730	32	0	12	12	44
1790	34	121	267	70	1402	21	1669
1805	54	199	47	5	1559	120	1606
1882	40	148	89	20	1645	296	1734
1952	6	15	235	0	1702	1	1937
1961	287	1933	14	0	14	14	28
1964	30	107	176	0	1681	86	1857
1981	70	245	192	18	1544	198	1736
1982	44	169	71	8	1742	1	1813
1989	68	240	36	24	1713	93	1749
2030	66	235	32	20	1763	184	1795
2094	291	1962	119	0	13	9	132
2110	57	210	82	11	1818	27	1900
2128	303	2111	3	0	14	14	17
2136	65	234	147	10	1755	187	1902
2216	25	83	207	10	1926	338	2133
2226	11	32	284	5	1910	3	2194
2254	41	155	213	5	1886	50	2099
2292	28	100	249	7	1943	280	2192
2315	304	2141	162	0	12	4	174
2318	80	278	213	10	1827	43	2040
2327	78	271	276	19	1780	317	2056
2359	69	243	209	0	1907	86	2116
2401	320	2382	3	0	16	16	19
2418	43	164	214	15	2040	1	2254
2457	72	252	171	0	2034	539	2205
2488	302	2100	261	0	127	116	388
2567	51	193	280	9	2094	222	2374
2580	26	90	279	0	2211	193	2490
2598	110	398	32	16	2168	907	2200
2644	91	319	64	0	2261	93	2325
2681	47	179	103	27	2399	228	2502
2693	75	265	31	5	2397	174	2428
2695	77	271	77	16	2347	152	2424
2702	60	220	243	10	2239	164	2482
2705	242	1052	215	0	1438	1071	1653
2725	37	136	189	15	2400	189	2589
2747	58	212	145	10	2390	59	2535
2753	61	225	161	10	2367	208	2528
2832	76	270	89	19	2473	171	2562
2914	87	308	26	10	2580	459	2606
2918	83	294	231	0	2393	1015	2624
2956	347	2737	204	0	15	11	219
2961	251	1323	280	0	1358	267	1638
3011	56	203	222	8	2586	35	2808
3111	354	3026	80	0	5	1	85
3120	89	313	274	12	2533	26	2807
3122	22	66	284	6	2772	110	3056
3131	74	258	215	33	2658	125	2873
3192	84	296	56	21	2840	149	2896
3202	48	181	249	0	2772	245	3021
3263	39	147	250	7	2866	56	3116
3336	67	237	172	0	2927	460	3099
3337	367	3142	185	0	10	6	195
3359	50	188	134	14	3037	511	3171
3430	374	3275	135	0	20	16	155
3449	85	297	248	19	2904	138	3152
3471	55	203	226	19	3042	590	3268
3534	52	195	230	6	3109	230	3339
3575	111	403	47	15	3125	350	3172
3632	385	3492	132	0	8	4	140
3635	114	419	19	6	3197	793	3216
3654	96	337	274	9	3043	966	3317
3660	73	254	221	0	3185	25	3406
3692	105	375	140	15	3177	334	3317
3701	103	364	108	8	3229	59	3337
3750	92	326	207	9	3217	78	3424
3771	82	289	176	0	3306	38	3482
3777	90	315	166	0	3296	32	3462
3864	410	3841	3	0	20	20	23
3933	246	1287	242	0	2404	91	2646
3939	102	361	205	30	3373	11	3578
3940	416	3897	25	0	18	14	43
3965	79	271	241	19	3453	259	3694
3968	88	313	143	10	3512	22	3655
3986	118	431	73	18	3482	243	3555
3994	122	433	248	0	3313	27	3561
4052	107	387	167	13	3498	91	3665
4124	98	346	105	9	3673	451	3778
4126	81	284	134	9	3708	29	3842
4129	146	501	48	7	3580	308	3628
4135	404	3723	5	0	407	83	412
4137	252	1329	30	0	2778	258	2808
4140	427	4069	51	0	20	20	71
4168	141	495	25	41	3648	211	3673
4291	435	4197	84	0	10	10	94
4342	113	413	83	18	3846	336	3929
4434	130	454	115	18	3865	42	3980
4435	127	449	51	0	3935	149	3986
4436	135	477	156	14	3803	201	3959
4437	156	540	13	23	3884	64	3897
4456	443	4360	78	0	18	18	96
4469	148	509	62	17	3898	1080	3960
4469	62	225	234	22	4010	223	4244
4470	151	524	34	11	3912	88	3946
4480	108	391	106	20	3983	1	4089
4502	149	516	64	9	3922	174	3986
4512	440	4332	170	0	10	2	180
4528	218	486	218	0	3824	405	4042
4529	95	335	202	28	3992	191	4194
4556	125	446	74	35	4036	271	4110
4583	86	302	192	20	4089	387	4281
4610	104	369	159	14	4082	346	4241
4611	115	425	151	19	4035	280	4186
4624	449	4461	143	0	20	16	163
4689	46	178	280	12	4231	198	4511
4704	63	228	230	29	4246	26	4476
4712	219	488	231	0	3993	72	4224
4736	116	426	215	18	4095	6	4310
4813	93	328	199	8	4286	421	4485
4836	137	487	85	8	4264	49	4349
4872	94	329	240	18	4303	440	4543
4891	467	4754	124	0	13	1	137
4904	473	4879	10	0	15	15	25
4967	480	4939	10	0	18	18	28
4969	106	381	126	20	4462	101	4588
4971	131	456	281	13	4234	245	4515
4988	270	1714	275	0	2999	22	3274
5001	479	4925	75	0	1	1	76
5027	119	432	228	0	4367	1280	4595
5072	126	446	135	9	4491	261	4626
5074	145	498	59	0	4517	263	4576
5098	144	498	123	8	4477	70	4600
5168	360	3058	194	0	1916	420	2110
5188	173	584	30	10	4574	171	4604
5203	117	426	224	8	4553	235	4777
5209	489	5042	153	0	14	10	167
5246	109	393	180	14	4673	7	4853
5255	129	451	111	18	4693	235	4804
5278	120	432	35	6	4811	16	4846
5280	153	528	39	5	4713	72	4752
5303	160	557	109	0	4637	242	4746
5342	495	5175	149	0	18	18	167
5342	150	522	227	19	4593	261	4820
5354	336	2556	181	0	2617	502	2798
5377	162	560	91	9	4726	56	4817
5401	101	354	285	19	4762	6	5047
5417	143	495	174	10	4748	216	4922
5444	121	433	200	9	4811	274	5011
5459	97	339	193	18	4927	1218	5120
5460	168	579	12	9	4869	6	4881
5468	169	581	26	0	4861	172	4887
5471	176	599	33	33	4839	76	4872
5487	155	536	123	0	4828	72	4951
5499	112	406	223	10	4870	531	5093
5555	288	1941	188	0	3426	707	3614
5595	134	470	161	10	4964	471	5125
5599	152	524	173	18	4902	371	5075
